model_name,tokenizer_robustness_completion_chinese_traditional
Comma,0.524
Llama-3.2,0.367
Phi-3,0.931
GPT-2,0.633
GPT-4o,0.371
BLOOM,0.117
XGLM,0.819
Tekken,0.415
ByT5,0.952
mBERT,0.456
Qwen-3,0.214
TokenMonster,0.931
Gemma-2,0.19
Aya,0.169
