model_name,tokenizer_robustness_completion_chinese_spelled_out
Comma,0.553
Llama-3.2,0.355
Phi-3,1.0
GPT-2,0.579
GPT-4o,0.342
BLOOM,0.224
XGLM,0.961
Tekken,0.421
ByT5,1.0
mBERT,0.5
Qwen-3,0.25
TokenMonster,1.0
Gemma-2,0.25
Aya,0.237
