model_name,tokenizer_robustness_completion_chinese_word_spacing_zero-width_characters_extra_space
Comma,0.455
Llama-3.2,0.219
Phi-3,0.944
GPT-2,0.618
GPT-4o,0.213
BLOOM,0.083
XGLM,0.801
Tekken,0.316
ByT5,0.94
mBERT,0.365
Qwen-3,0.11
TokenMonster,0.92
Gemma-2,0.13
Aya,0.126
