model_name,tokenizer_robustness_completion_chinese_romanization
Comma,0.423
Llama-3.2,0.331
Phi-3,0.66
GPT-2,0.343
GPT-4o,0.22
BLOOM,0.229
XGLM,0.279
Tekken,0.35
ByT5,0.939
mBERT,0.374
Qwen-3,0.34
TokenMonster,0.645
Gemma-2,0.057
Aya,0.156
