model_name,tokenizer_robustness_completion_chinese_keyboard_proximity_errors
Comma,0.483
Llama-3.2,0.309
Phi-3,0.941
GPT-2,0.615
GPT-4o,0.306
BLOOM,0.146
XGLM,0.826
Tekken,0.378
ByT5,0.941
mBERT,0.444
Qwen-3,0.188
TokenMonster,0.924
Gemma-2,0.215
Aya,0.215
