model_name,tokenizer_robustness_completion_chinese_canonical
Comma,0.459
Llama-3.2,0.263
Phi-3,0.94
GPT-2,0.584
GPT-4o,0.253
BLOOM,0.093
XGLM,0.808
Tekken,0.363
ByT5,0.947
mBERT,0.445
Qwen-3,0.125
TokenMonster,0.922
Gemma-2,0.146
Aya,0.146
