model_name,tokenizer_robustness_completion_chinese_ocr_errors
Comma,0.491
Llama-3.2,0.326
Phi-3,0.939
GPT-2,0.609
GPT-4o,0.326
BLOOM,0.204
XGLM,0.814
Tekken,0.423
ByT5,0.946
mBERT,0.455
Qwen-3,0.237
TokenMonster,0.921
Gemma-2,0.24
Aya,0.247
