model_name,tokenizer_robustness_completion_chinese_optional_diacritics
Comma,0.179
Llama-3.2,0.035
Phi-3,0.318
GPT-2,0.179
GPT-4o,0.041
BLOOM,0.001
XGLM,0.106
Tekken,0.064
ByT5,0.686
mBERT,0.041
Qwen-3,0.014
TokenMonster,0.305
Gemma-2,0.009
Aya,0.01
