model_name,tokenizer_robustness_completion_chinese_partially_romanized
Comma,0.477
Llama-3.2,0.323
Phi-3,0.939
GPT-2,0.599
GPT-4o,0.319
BLOOM,0.219
XGLM,0.814
Tekken,0.409
ByT5,0.95
mBERT,0.473
Qwen-3,0.244
TokenMonster,0.928
Gemma-2,0.237
Aya,0.24
