model_name,tokenizer_robustness_completion_english_compounds
Comma,1.335
Llama-3.2,1.111
Phi-3,1.123
GPT-2,1.138
GPT-4o,1.096
BLOOM,1.135
XGLM,1.091
Tekken,1.172
ByT5,3.547
mBERT,1.074
Qwen-3,1.128
TokenMonster,1.483
Gemma-2,1.062
Aya,1.074
