model_name,tokenizer_robustness_completion_english_homoglyphs
Comma,1.748
Llama-3.2,1.519
Phi-3,1.635
GPT-2,1.586
GPT-4o,1.493
BLOOM,1.533
XGLM,1.51
Tekken,1.577
ByT5,3.826
mBERT,1.516
Qwen-3,1.551
TokenMonster,2.31
Gemma-2,1.481
Aya,1.513
