model_name,tokenizer_robustness_completion_english_canonical
Comma,1.357
Llama-3.2,1.092
Phi-3,1.135
GPT-2,1.121
GPT-4o,1.075
BLOOM,1.124
XGLM,1.072
Tekken,1.179
ByT5,3.573
mBERT,1.069
Qwen-3,1.13
TokenMonster,1.493
Gemma-2,1.084
Aya,1.089
