model_name,tokenizer_robustness_completion_english_spelled_out
Comma,1.509
Llama-3.2,1.093
Phi-3,1.093
GPT-2,1.12
GPT-4o,1.093
BLOOM,1.13
XGLM,1.065
Tekken,1.139
ByT5,3.426
mBERT,1.056
Qwen-3,1.111
TokenMonster,1.491
Gemma-2,1.056
Aya,1.065
