model_name,tokenizer_robustness_completion_english_character_substitution
Comma,1.301
Llama-3.2,1.147
Phi-3,1.205
GPT-2,1.199
GPT-4o,1.122
BLOOM,1.167
XGLM,1.115
Tekken,1.244
ByT5,3.545
mBERT,1.09
Qwen-3,1.173
TokenMonster,1.596
Gemma-2,1.096
Aya,1.109
