model_name,tokenizer_robustness_completion_english_capitalization
Comma,1.622
Llama-3.2,1.412
Phi-3,1.882
GPT-2,1.617
GPT-4o,1.395
BLOOM,1.533
XGLM,1.499
Tekken,1.686
ByT5,3.573
mBERT,2.012
Qwen-3,1.45
TokenMonster,1.942
Gemma-2,1.225
Aya,1.386
