model_name,tokenizer_robustness_completion_english_orthographic_errors
Comma,1.514
Llama-3.2,1.24
Phi-3,1.286
GPT-2,1.271
GPT-4o,1.214
BLOOM,1.251
XGLM,1.206
Tekken,1.312
ByT5,3.473
mBERT,1.218
Qwen-3,1.277
TokenMonster,1.69
Gemma-2,1.208
Aya,1.209
