model_name,tokenizer_robustness_completion_english_similar_words
Comma,1.486
Llama-3.2,1.226
Phi-3,1.258
GPT-2,1.27
GPT-4o,1.215
BLOOM,1.245
XGLM,1.183
Tekken,1.317
ByT5,4.252
mBERT,1.188
Qwen-3,1.258
TokenMonster,1.658
Gemma-2,1.159
Aya,1.179
