model_name,tokenizer_robustness_completion_english_macron_diacritic
Comma,11.446
Llama-3.2,11.446
Phi-3,7.677
GPT-2,11.446
GPT-4o,11.446
BLOOM,11.446
XGLM,7.655
Tekken,11.446
ByT5,11.446
mBERT,7.631
Qwen-3,11.446
TokenMonster,11.446
Gemma-2,7.631
Aya,11.446
