model_name,tokenizer_robustness_completion_english_lowercase
Comma,1.384
Llama-3.2,1.119
Phi-3,1.14
GPT-2,1.149
GPT-4o,1.101
BLOOM,1.131
XGLM,1.095
Tekken,1.19
ByT5,3.631
mBERT,1.113
Qwen-3,1.143
TokenMonster,1.497
Gemma-2,1.077
Aya,1.092
