model_name,tokenizer_robustness_completion_english_abbreviations
Comma,1.338
Llama-3.2,1.075
Phi-3,1.084
GPT-2,1.107
GPT-4o,1.058
BLOOM,1.116
XGLM,1.101
Tekken,1.124
ByT5,3.286
mBERT,1.069
Qwen-3,1.078
TokenMonster,1.468
Gemma-2,1.029
Aya,1.038
