model_name,tokenizer_robustness_completion_english_superscript_subscript_styling
Comma,9.161
Llama-3.2,9.173
Phi-3,9.103
GPT-2,7.416
GPT-4o,9.085
BLOOM,6.188
XGLM,1.097
Tekken,9.167
ByT5,9.721
mBERT,3.405
Qwen-3,3.669
TokenMonster,9.774
Gemma-2,3.636
Aya,7.144
