model_name,tokenizer_robustness_completion_english_scripted_text
Comma,10.706
Llama-3.2,10.424
Phi-3,15.174
GPT-2,10.706
GPT-4o,10.388
BLOOM,9.994
XGLM,1.079
Tekken,13.95
ByT5,14.241
mBERT,1.05
Qwen-3,4.288
TokenMonster,15.915
Gemma-2,3.882
Aya,10.118
