model_name,tokenizer_robustness_completion_english_contractions
Comma,1.242
Llama-3.2,1.1
Phi-3,1.248
GPT-2,1.131
GPT-4o,1.078
BLOOM,1.128
XGLM,1.195
Tekken,1.181
ByT5,3.593
mBERT,1.203
Qwen-3,1.128
TokenMonster,1.607
Gemma-2,1.198
Aya,1.089
