model_name,tokenizer_robustness_completion_english_ocr_errors
Comma,1.517
Llama-3.2,1.26
Phi-3,1.322
GPT-2,1.282
GPT-4o,1.217
BLOOM,1.263
XGLM,1.225
Tekken,1.324
ByT5,3.485
mBERT,1.239
Qwen-3,1.3
TokenMonster,1.684
Gemma-2,1.241
Aya,1.241
