model_name,tokenizer_robustness_completion_english_date_formats
Comma,1.459
Llama-3.2,1.251
Phi-3,1.825
GPT-2,1.251
GPT-4o,1.251
BLOOM,1.219
XGLM,1.344
Tekken,1.557
ByT5,3.202
mBERT,1.268
Qwen-3,1.557
TokenMonster,1.672
Gemma-2,1.645
Aya,1.557
