model_name,tokenizer_robustness_completion_english_keyboard_proximity_errors
Comma,1.524
Llama-3.2,1.248
Phi-3,1.301
GPT-2,1.29
GPT-4o,1.231
BLOOM,1.279
XGLM,1.24
Tekken,1.326
ByT5,3.554
mBERT,1.234
Qwen-3,1.279
TokenMonster,1.758
Gemma-2,1.231
Aya,1.237
