model_name,tokenizer_robustness_completion_english_inflections
Comma,1.468
Llama-3.2,1.213
Phi-3,1.532
GPT-2,1.245
GPT-4o,1.191
BLOOM,1.191
XGLM,1.287
Tekken,1.351
ByT5,3.574
mBERT,1.309
Qwen-3,1.351
TokenMonster,1.691
Gemma-2,1.436
Aya,1.298
