model_name,tokenizer_robustness_completion_english_letter_repetition_for_emphasis
Comma,1.85
Llama-3.2,1.541
Phi-3,1.612
GPT-2,1.558
GPT-4o,1.535
BLOOM,1.609
XGLM,1.552
Tekken,1.635
ByT5,4.116
mBERT,1.581
Qwen-3,1.581
TokenMonster,2.102
Gemma-2,1.513
Aya,1.535
